epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,val_loss
,0.0001,9,,,
0,,9,,1.148875117301941,
,0.0001,19,,,
0,,19,,1.1352002620697021,
,0.0001,29,,,
0,,29,,1.121357798576355,
,0.0001,39,,,
0,,39,,1.121436357498169,
,0.0001,49,,,
0,,49,,1.164431095123291,
,0.0001,59,,,
0,,59,,1.1078981161117554,
,0.0001,69,,,
0,,69,,1.1190333366394043,
,0.0001,79,,,
0,,79,,1.1236218214035034,
,0.0001,89,,,
0,,89,,1.1130385398864746,
,0.0001,99,,,
0,,99,,1.1234030723571777,
,0.0001,109,,,
0,,109,,1.1026861667633057,
,0.0001,119,,,
0,,119,,1.1059057712554932,
,0.0001,129,,,
0,,129,,1.107892632484436,
,0.0001,139,,,
0,,139,,1.109032392501831,
,0.0001,149,,,
0,,149,,1.10357666015625,
,0.0001,159,,,
0,,159,,1.0881496667861938,
,0.0001,169,,,
0,,169,,1.1022108793258667,
,0.0001,179,,,
0,,179,,1.1048009395599365,
,0.0001,189,,,
0,,189,,1.1109658479690552,
,0.0001,199,,,
0,,199,,1.0876773595809937,
,0.0001,209,,,
0,,209,,1.0861220359802246,
,0.0001,219,,,
0,,219,,1.0899204015731812,
,0.0001,229,,,
0,,229,,1.0943715572357178,
,0.0001,239,,,
0,,239,,1.0876522064208984,
,0.0001,249,,,
0,,249,,1.0893595218658447,
,0.0001,259,,,
0,,259,,1.1061601638793945,
,0.0001,269,,,
0,,269,,1.1014680862426758,
,0.0001,279,,,
0,,279,,1.0874741077423096,
,0.0001,289,,,
0,,289,,1.0807164907455444,
,0.0001,299,,,
0,,299,,1.076830267906189,
,0.0001,309,,,
0,,309,,1.0723216533660889,
,0.0001,319,,,
0,,319,,1.091265082359314,
,0.0001,329,,,
0,,329,,1.0890313386917114,
,0.0001,339,,,
0,,339,,1.076833963394165,
,0.0001,349,,,
0,,349,,1.0751526355743408,
,0.0001,359,,,
0,,359,,1.0888882875442505,
,0.0001,369,,,
0,,369,,1.0823880434036255,
,0.0001,379,,,
0,,379,,1.0918902158737183,
,0.0001,389,,,
0,,389,,1.1021450757980347,
,0.0001,399,,,
0,,399,,1.0871168375015259,
,0.0001,409,,,
0,,409,,1.0811229944229126,
,0.0001,419,,,
0,,419,,1.0842506885528564,
,0.0001,429,,,
0,,429,,1.069305181503296,
,0.0001,439,,,
0,,439,,1.061477780342102,
,0.0001,449,,,
0,,449,,1.0819536447525024,
,0.0001,459,,,
0,,459,,1.0746493339538574,
,0.0001,469,,,
0,,469,,1.079972743988037,
,0.0001,479,,,
0,,479,,1.0732057094573975,
,0.0001,489,,,
0,,489,,1.0781803131103516,
,0.0001,499,,,
0,,499,,1.0759152173995972,
,0.0001,509,,,
0,,509,,1.0799319744110107,
,0.0001,519,,,
0,,519,,1.0671366453170776,
,0.0001,529,,,
0,,529,,1.092354655265808,
,0.0001,539,,,
0,,539,,1.0824543237686157,
,0.0001,549,,,
0,,549,,1.0747005939483643,
,0.0001,559,,,
0,,559,,1.0674636363983154,
,0.0001,569,,,
0,,569,,1.0796229839324951,
,0.0001,579,,,
0,,579,,1.069757342338562,
,0.0001,589,,,
0,,589,,1.0646229982376099,
,0.0001,599,,,
0,,599,,1.0721049308776855,
,0.0001,609,,,
0,,609,,1.0843478441238403,
,0.0001,619,,,
0,,619,,1.0965352058410645,
,0.0001,629,,,
0,,629,,1.0670604705810547,
,0.0001,639,,,
0,,639,,1.0729631185531616,
,0.0001,649,,,
0,,649,,1.0691033601760864,
,0.0001,659,,,
0,,659,,1.0788047313690186,
,0.0001,669,,,
0,,669,,1.0777407884597778,
,0.0001,679,,,
0,,679,,1.0778285264968872,
,0.0001,689,,,
0,,689,,1.0838987827301025,
,0.0001,699,,,
0,,699,,1.0836642980575562,
,0.0001,709,,,
0,,709,,1.064407229423523,
,0.0001,719,,,
0,,719,,1.0737191438674927,
,0.0001,729,,,
0,,729,,1.076975703239441,
,0.0001,739,,,
0,,739,,1.074779748916626,
,0.0001,749,,,
0,,749,,1.0720477104187012,
,0.0001,759,,,
0,,759,,1.077019214630127,
,0.0001,769,,,
0,,769,,1.070787787437439,
,0.0001,779,,,
0,,779,,1.0753926038742065,
,0.0001,789,,,
0,,789,,1.0746231079101562,
,0.0001,799,,,
0,,799,,1.0651320219039917,
,0.0001,809,,,
0,,809,,1.0814764499664307,
,0.0001,819,,,
0,,819,,1.0652172565460205,
,0.0001,829,,,
0,,829,,1.0839864015579224,
,0.0001,839,,,
0,,839,,1.0869768857955933,
,0.0001,849,,,
0,,849,,1.0801100730895996,
,0.0001,859,,,
0,,859,,1.0687345266342163,
,0.0001,869,,,
0,,869,,1.0697060823440552,
,0.0001,879,,,
0,,879,,1.0787001848220825,
,0.0001,889,,,
0,,889,,1.088832974433899,
,0.0001,899,,,
0,,899,,1.0664515495300293,
,0.0001,909,,,
0,,909,,1.064723253250122,
,0.0001,919,,,
0,,919,,1.0762805938720703,
,0.0001,929,,,
0,,929,,1.062414526939392,
,0.0001,939,,,
0,,939,,1.0593637228012085,
,0.0001,949,,,
0,,949,,1.0624616146087646,
,0.0001,959,,,
