epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,val_loss
,0.0001,9,,,
0,,9,,1.1580835580825806,
,0.0001,19,,,
0,,19,,1.1262511014938354,
,0.0001,29,,,
0,,29,,1.1373929977416992,
,0.0001,39,,,
0,,39,,1.1123946905136108,
,0.0001,49,,,
0,,49,,1.1250462532043457,
,0.0001,59,,,
0,,59,,1.1086589097976685,
,0.0001,69,,,
0,,69,,1.1076565980911255,
,0.0001,79,,,
0,,79,,1.1155002117156982,
,0.0001,89,,,
0,,89,,1.088584303855896,
,0.0001,99,,,
0,,99,,1.0926073789596558,
,0.0001,109,,,
0,,109,,1.0874167680740356,
,0.0001,119,,,
0,,119,,1.088502287864685,
,0.0001,129,,,
0,,129,,1.0893529653549194,
,0.0001,139,,,
0,,139,,1.0934184789657593,
,0.0001,149,,,
0,,149,,1.0812345743179321,
,0.0001,159,,,
0,,159,,1.0959997177124023,
,0.0001,169,,,
0,,169,,1.0834449529647827,
,0.0001,179,,,
0,,179,,1.0936055183410645,
,0.0001,189,,,
0,,189,,1.0866531133651733,
,0.0001,199,,,
0,,199,,1.083965539932251,
,0.0001,209,,,
0,,209,,1.1194530725479126,
,0.0001,219,,,
0,,219,,1.067509651184082,
,0.0001,229,,,
0,,229,,1.0888456106185913,
,0.0001,239,,,
0,,239,,1.0725829601287842,
,0.0001,249,,,
0,,249,,1.0814265012741089,
,0.0001,259,,,
0,,259,,1.0956556797027588,
,0.0001,269,,,
0,,269,,1.0824635028839111,
,0.0001,279,,,
0,,279,,1.0713077783584595,
,0.0001,289,,,
0,,289,,1.078640103340149,
,0.0001,299,,,
0,,299,,1.0664891004562378,
,0.0001,309,,,
0,,309,,1.0701892375946045,
,0.0001,319,,,
0,,319,,1.071955919265747,
,0.0001,329,,,
0,,329,,1.0719407796859741,
,0.0001,339,,,
0,,339,,1.073581337928772,
,0.0001,349,,,
0,,349,,1.0725913047790527,
,0.0001,359,,,
0,,359,,1.0736846923828125,
,0.0001,369,,,
0,,369,,1.0760583877563477,
,0.0001,379,,,
0,,379,,1.0857741832733154,
,0.0001,389,,,
0,,389,,1.0779072046279907,
,0.0001,399,,,
0,,399,,1.0804685354232788,
,0.0001,409,,,
0,,409,,1.0889053344726562,
,0.0001,419,,,
0,,419,,1.0697178840637207,
,0.0001,429,,,
0,,429,,1.0896419286727905,
,0.0001,439,,,
0,,439,,1.0727707147598267,
,0.0001,449,,,
0,,449,,1.0587255954742432,
,0.0001,459,,,
0,,459,,1.0596121549606323,
,0.0001,469,,,
0,,469,,1.0583348274230957,
,0.0001,479,,,
0,,479,,1.05998957157135,
,0.0001,489,,,
0,,489,,1.0670796632766724,
,0.0001,499,,,
0,,499,,1.0683733224868774,
,0.0001,509,,,
0,,509,,1.0737106800079346,
,0.0001,519,,,
0,,519,,1.066188097000122,
,0.0001,529,,,
0,,529,,1.0718019008636475,
,0.0001,539,,,
0,,539,,1.07467782497406,
,0.0001,549,,,
0,,549,,1.0781656503677368,
,0.0001,559,,,
0,,559,,1.0627906322479248,
,0.0001,569,,,
0,,569,,1.0704485177993774,
,0.0001,579,,,
0,,579,,1.0614677667617798,
,0.0001,589,,,
0,,589,,1.0592159032821655,
,0.0001,599,,,
0,,599,,1.0687843561172485,
,0.0001,609,,,
0,,609,,1.0668803453445435,
,0.0001,619,,,
0,,619,,1.060476541519165,
,0.0001,629,,,
0,,629,,1.065998911857605,
,0.0001,639,,,
0,,639,,1.0715868473052979,
,0.0001,649,,,
0,,649,,1.0672587156295776,
,0.0001,659,,,
0,,659,,1.0702931880950928,
,0.0001,669,,,
0,,669,,1.0632944107055664,
,0.0001,679,,,
0,,679,,1.0715986490249634,
,0.0001,689,,,
0,,689,,1.0581389665603638,
,0.0001,699,,,
0,,699,,1.0498050451278687,
,0.0001,709,,,
0,,709,,1.054939866065979,
,0.0001,719,,,
0,,719,,1.0483498573303223,
,0.0001,729,,,
0,,729,,1.0562684535980225,
,0.0001,739,,,
0,,739,,1.0528360605239868,
,0.0001,749,,,
0,,749,,1.0600359439849854,
,0.0001,759,,,
0,,759,,1.0541185140609741,
,0.0001,769,,,
0,,769,,1.0497223138809204,
,0.0001,779,,,
0,,779,,1.0500099658966064,
,0.0001,789,,,
0,,789,,1.0578621625900269,
,0.0001,799,,,
0,,799,,1.0666155815124512,
,0.0001,809,,,
0,,809,,1.0563790798187256,
,0.0001,819,,,
0,,819,,1.0510358810424805,
,0.0001,829,,,
0,,829,,1.0530965328216553,
,0.0001,839,,,
0,,839,,1.0467517375946045,
,0.0001,849,,,
0,,849,,1.05454683303833,
,0.0001,859,,,
0,,859,,1.055229663848877,
,0.0001,869,,,
0,,869,,1.0608184337615967,
,0.0001,879,,,
0,,879,,1.0519572496414185,
,0.0001,889,,,
0,,889,,1.0582669973373413,
,0.0001,899,,,
0,,899,,1.0655484199523926,
,0.0001,909,,,
0,,909,,1.051156759262085,
,0.0001,919,,,
0,,919,,1.0470608472824097,
,0.0001,929,,,
0,,929,,1.0574150085449219,
,0.0001,939,,,
0,,939,,1.0620890855789185,
,0.0001,949,,,
0,,949,,1.0441781282424927,
,0.0001,959,,,
0,,959,,1.0421695709228516,
,0.0001,969,,,
0,,969,,1.0516897439956665,
,0.0001,979,,,
0,,979,,1.046805500984192,
,0.0001,989,,,
0,,989,,1.0477098226547241,
,0.0001,999,,,
0,,999,,1.0523078441619873,
,0.0001,1009,,,
0,,1009,,1.045957326889038,
,0.0001,1019,,,
0,,1019,,1.0390946865081787,
,0.0001,1029,,,
0,,1029,,1.0581417083740234,
,0.0001,1039,,,
0,,1039,,1.0396558046340942,
,0.0001,1049,,,
0,,1049,,1.0510730743408203,
,0.0001,1059,,,
0,,1059,,1.0515649318695068,
,0.0001,1069,,,
0,,1069,,1.0664466619491577,
,0.0001,1079,,,
0,,1079,,1.0698931217193604,
,0.0001,1089,,,
0,,1089,,1.0440709590911865,
,0.0001,1099,,,
0,,1099,,1.060173749923706,
,0.0001,1109,,,
0,,1109,,1.0537025928497314,
,0.0001,1119,,,
0,,1119,,1.056660771369934,
,0.0001,1129,,,
0,,1129,,1.0534006357192993,
,0.0001,1139,,,
0,,1139,,1.0423184633255005,
,0.0001,1149,,,
0,,1149,,1.0390373468399048,
,0.0001,1159,,,
0,,1159,,1.054013729095459,
,0.0001,1169,,,
0,,1169,,1.058350682258606,
,0.0001,1179,,,
0,,1179,,1.0424169301986694,
,0.0001,1189,,,
0,,1189,,1.0433391332626343,
,0.0001,1199,,,
0,,1199,,1.0545302629470825,
,0.0001,1209,,,
0,,1209,,1.039953589439392,
,0.0001,1219,,,
0,,1219,,1.0539686679840088,
,0.0001,1229,,,
0,,1229,,1.0326619148254395,
0,,1229,,,1.0502324104309082
0,,1229,1.0689942836761475,,
,0.0001,1239,,,
1,,1239,,1.0460141897201538,
,0.0001,1249,,,
1,,1249,,1.0545021295547485,
,0.0001,1259,,,
1,,1259,,1.0487756729125977,
,0.0001,1269,,,
1,,1269,,1.0424805879592896,
,0.0001,1279,,,
1,,1279,,1.0442765951156616,
,0.0001,1289,,,
1,,1289,,1.037466049194336,
,0.0001,1299,,,
1,,1299,,1.050456166267395,
,0.0001,1309,,,
1,,1309,,1.0382905006408691,
,0.0001,1319,,,
1,,1319,,1.0457069873809814,
,0.0001,1329,,,
1,,1329,,1.0507861375808716,
,0.0001,1339,,,
1,,1339,,1.0470030307769775,
,0.0001,1349,,,
1,,1349,,1.0471878051757812,
,0.0001,1359,,,
1,,1359,,1.0419039726257324,
,0.0001,1369,,,
1,,1369,,1.0480613708496094,
,0.0001,1379,,,
1,,1379,,1.0429823398590088,
,0.0001,1389,,,
1,,1389,,1.0471141338348389,
,0.0001,1399,,,
1,,1399,,1.0510715246200562,
,0.0001,1409,,,
1,,1409,,1.0378950834274292,
,0.0001,1419,,,
1,,1419,,1.0397802591323853,
,0.0001,1429,,,
1,,1429,,1.042754054069519,
,0.0001,1439,,,
1,,1439,,1.0471960306167603,
,0.0001,1449,,,
1,,1449,,1.04185950756073,
,0.0001,1459,,,
1,,1459,,1.0472368001937866,
,0.0001,1469,,,
1,,1469,,1.0390567779541016,
,0.0001,1479,,,
1,,1479,,1.045381784439087,
,0.0001,1489,,,
1,,1489,,1.0478851795196533,
,0.0001,1499,,,
1,,1499,,1.038527488708496,
,0.0001,1509,,,
1,,1509,,1.0612843036651611,
,0.0001,1519,,,
1,,1519,,1.0497280359268188,
,0.0001,1529,,,
1,,1529,,1.049668312072754,
,0.0001,1539,,,
1,,1539,,1.0442173480987549,
,0.0001,1549,,,
1,,1549,,1.0434280633926392,
,0.0001,1559,,,
1,,1559,,1.0452200174331665,
,0.0001,1569,,,
1,,1569,,1.0357444286346436,
,0.0001,1579,,,
